Index	Name	Author	FileName	Tags	Dependencies	URL
66	Mod Uninstaller	Volitio	ModUninstaller_163484d1-8511-4a95-8061-1ede8838b28b.pak		Volition Cabinet, Mod Configuration Menu	https://www.nexusmods.com/baldursgate3/mods/9701
67	Party Limit Begone	Sildur	PartyLimitBegone_1d6c4030-67b9-4b0a-b3ab-caf6dd73d1af.pak			https://www.nexusmods.com/baldursgate3/mods/327
68	Records	Wtfbengt	Records_7a671e11-7692-463b-a873-c4353743db2d.pak	UI		https://www.nexusmods.com/baldursgate3/mods/19021
69	Save Search	Serpentine (NexusMods: SerpentineShel)	SaveSearch_3fbd567c-3d47-4fa2-af63-c142c5572359.pak		Mod Configuration Menu	
70	Smart Autosaving	Volitio	SmartAutosaving_0c8bb2e9-aa96-4de7-b793-a733d68ee6f0.pak		Volition Cabinet, Mod Configuration Menu	https://www.nexusmods.com/baldursgate3/mods/5899
71	Tav's Clock	Mazzle	Tavs_Clock_d347879f-4a0f-4868-9987-528f21040d01.pak			https://www.nexusmods.com/baldursgate3/mods/19886
72	Tooltip Manager	wtfbengt	Tooltip Manager_863ed0c4-df37-4734-8d50-76571e13c85d.pak			https://www.nexusmods.com/baldursgate3/mods/18208
73	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  22 ⋆ Story Content ⋆ Dialogue  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_StoryContent_Dialogue_687ba639-1259-400a-b470-c5d0986c8279.pak			
74	All Players In Dialogue - Improved	Nyoshizora	all-players-in-dialogue-origin-4o8j.pak		GustavDev	
75	HT_Camp Event Overhaul	HyperspaceTowel	camp-scene-overhaul_d756bfd1-e-71f7.pak		GustavX	https://www.nexusmods.com/baldursgate3/mods/17753
76	HT_Dark Urge Tweeaks	HyperspaceTowel	HT_DarkUrgeTweeaks_d05e5edd-39f9-63d5-3121-811788b0682d.pak		GustavDev	https://www.nexusmods.com/baldursgate3/mods/15031
77	Hug Your Companions	Magnetuning	MGNTN_HugsInDialog_Imm_7ba75792-c321-4336-bf47-eb167bbd2029.pak			https://www.nexusmods.com/baldursgate3/mods/9994
78	Various Dialogue Fixes by Kelo	Kelocena	VariousDialogueFixes_0f3fcf8c-2e4f-411e-84c3-b89a64905293.pak		GustavX	https://www.nexusmods.com/baldursgate3/mods/17091
79	HT_DarkUrgeTweeaks - Compatibility Patch - Hug Your Companions	HyperspaceTowel	HT_DarkUrgeTweeaks_Hugs_CompatibilityPatch_67424a86-38fa-424f-ab07-19273cdaff12.pak		GustavDev	
80	 .⋆｡˚✭˚｡⋆ . ✦ .⋆｡˚✭˚ ☾  23 ⋆ Story Content ⋆ NPCs  ☽ ˚✭˚｡⋆. ✦ . ⋆｡˚✭˚｡⋆. ｡˚✭˚｡⋆ ˚✭˚｡⋆. 	Astralities	ASTRL_Dividers_StoryContent_NPCs_1efb75d3-4108-4b6c-9fe7-427797327ec4.pak			
